title,position,requirements
Аналитик данных,middle,"['Анализ данных', 'SQL', 'PostgreSQL', 'Clickhouse', 'DataLens', 'Grafana', 'Продуктовые метрики', 'Бизнес метрики', 'A/B тесты', 'Когортный анализ', 'Анализ поведения пользователей', 'Python', 'pandas', 'Jupyter Notebook', 'Apache Airflow', 'Ad-hoc тестирование']"
Data analyst (аналитик данных),junior,"['pandas', 'Numpy', 'Matplotlib', 'Plotly', 'Tableau', 'Power BI', 'Python', 'PostgreSQL', 'Clickhouse']"
Аналитик данных,intern,[]
Аналитик данных,intern,"['Power BI', 'MS Excel', 'Анализ данных', 'Работа с большим объемом информации', 'Miro', 'MS Word', 'MS SQL', 'Python']"
Data-аналитик / Аналитик данных,middle,[]
Data аналитик,senior,"['Power BI', 'SQL', 'Python']"
Data analyst,middle,[]
Data Analyst (Perfluence),junior,"['SQL', 'Python', 'уверенное знание SQL (SELECT, JOIN, агрегатные функции, оконные функции); базовые навыки Python и анализа данных (pandas, matplotlib/seaborn); понимание основ статистики; навыки визуализации данных в BI-инструментах (желательно): superset; умение формулировать гипотезы и проверять их с помощью данных; внимательность к деталям и аккуратность в работе с цифрами; готовность учиться и быстро осваивать новые инструменты; навыки коммуникации: умение чётко объяснять выводы из данных коллегам, не являющимся аналитиками.', 'Будет плюсом:', 'опыт работы с CRM / веб-аналитикой / маркетинговыми платформами (например, Яндекс Метрика, AppMetrica, Amplitude)', 'Стэк: Airflow, Superset, PostgreSQL, ClickHouse, Яндекс.Метрика и AppMetrica в качестве трекингов, kafka внедряется.', 'Условия:', 'официальное трудоустройство; ДМС со стоматологией, офисный врач, доплата больничного листа, корпоративные скидки; льготные условия ипотеки в рамках зарплатного проекта; бесплатную подписку на сервисы партнеров; насыщенную корпоративную жизнь.']"
"Back-end разработчик (продукт по аналитике данных, FastAPI)",middle,"['Python', 'FastAPI', 'Pyrogram', 'asyncio', 'multiprocessing', 'threading', 'SQLAlchemy', 'Psycopg', 'Pytest', 'unittest', 'PEP', 'RabbitMQ', 'SQL', 'Aiogram', 'Docker']"
Data Analyst,middle,"['Опыт работы Data Analyst или в аналогичной роли от 3-х лет. Уверенные навыки SQL и опыт работы с большими наборами данных. Практический опыт работы с Mixpanel или аналогичными инструментами продуктовой аналитики. Сильные аналитические способности и умение четко доносить инсайты, применимые на практике. Отличные коммуникативные навыки, уровень английского B2+.']"
Системный аналитик/аналитик данных DWH,junior,"['SQL', 'СУБД', 'DWH', 'Разработка технических заданий', 'Постановка задач разработчикам']"
Data Analyst,junior,"['SQL', 'Python']"
Аналитик данных/Power BI,junior,[]
Middle Data Analyst,middle,"['SQL', 'Python', 'Power BI', 'Tableau', 'FineBI']"
Аналитик данных,middle,[]
Главный аналитик данных в команду F&R,senior,[]
Аналитик данных,middle,"['базовое понимание принципов работы с данными: сбор, очистка, анализ. знание SQL на уровне написания запросов (SELECT, JOIN, GROUP BY, агрегатные функции). уверенное владение Excel (сводные таблицы, формулы, графики). опыт работы с инструментами визуализации данных (например, Power BI, Tableau, Google Data Studio). базовые знания Python или R (желательно, но не обязательно): работа с pandas, matplotlib/seaborn.', 'Что предлагаем:', 'рыночную зарплату и премии драйвовые задачи и ресурсы для их реализации преимущества аккредитованной IT-компании материальную помощь в случае важных событий в жизни корпоративное обучение у топовых провайдеров и доступ к онлайн-библиотеке корпоративные тренировки и спортивные активности - бег, футбол, волейбол, баскетбол, теннис и другие комьюнити по интересам скидки от партнеров на ДМС, связь, развлечения, подарки, спорт и т.д.', 'Стань частью команды ДИТ Москвы и воплощай в жизнь цифровые проекты столицы!']"
Аналитик данных,middle,[]
Начинающий аналитик данных / Junior Data Analyst,junior,"['Работа в команде', 'Адекватность', 'Анализ данных', 'Критическое мышление', 'MS Excel', 'Ответственность', 'Тайм-менеджмент', 'Data Analysis', 'Математическая статистика', 'Основы баз данных', 'Формирование аналитической отчетности', 'Статистический анализ']"
Middle Data Analyst,middle,"['SQL', 'Python', 'MS SQL']"
Стажер-Аналитик данных ERM,junior,[]
Главный специалист (аналитик данных),senior,"['MS Excel', 'MS SQL', 'Python', 'Работа с системами аналитики', 'MS Visio', 'Анализ бизнес-процессов', 'Автоматизация', 'Дашборд']"
Аналитик баз данных/Data Analyst,junior,[]
Главный специалист/ Аналитик данных (розничные кредитные риски),senior,"['MS SQL', 'PostgreSQL', 'Python', 'Розничный кредитный портфель', 'AR', 'NPL', 'Винтажный анализ', 'roll-rates', 'Создание витрин данных', 'Разработка бизнес-требований на витрины данных', 'Постановка задач ИТ подразделениям']"
Специалист по аналитике данных,junior,[]
Аналитик данных (CDO),middle,[]
Senior Data Analyst (retail),senior,[]
Аналитик данных,junior,['Опыт работы от 2х лет Уверенный пользователь Microsoft office']
