title,position,requirements
Аналитик данных\Рыночный аналитик Middle+\Senior,middle,"СУБД, Arenadata/Green, Plum/Postgre, SQL, Grafana, NumPy, SciPy"
Аналитик данных (DWH/BI),middle,"PL/SQL, Системный анализ, PostgreSQL, Greenplum, BI, Python, Анализ данных, DataVault, Hadoop, ORACLE"
Junior Data Analyst (mobile games),junior,"Python, SQL, pandas, A/B тесты"
Бизнес-аналитик (аналитик бизнес-процессов/системный аналитик),junior,"Ответственность, Анализ обратной связи, Разработка технических заданий, Управление требованиями, Разработка бизнес-требований, Моделирование бизнес-процессов, Анализ требований, Системный анализ, Описание бизнес-процессов, Управление бизнес процессами, Анализ бизнес-процессов, Оптимизация бизнес-процессов, Автоматизация бизнес-процессов, Высшее образование (желательно в области информационных технологий); Опыт работы бизнес-аналитиком (системным аналитиком) от 1 года; Навыки выстраивания архитектуры бизнес-процессов; Опыт описания, моделирования, реинжиниринга бизнес-процессов с использованием нотаций BPMN, EPC, UML, IDEF; Умение анализировать требования и декомпозировать задачи; Навыки работы в системах управления бизнес-процессами (Business Studio и д.р.) приветствуются."
BI-аналитик (разработчик),junior,"MS PowerPoint, SQL, DAX, Power BI, Работа с большим объемом информации"
Аналитик данных (Data analyst),middle,"SQL, Python, Big Data, Степень бакалавра/магистра в области компьютерных наук, лингвистики, Сильные аналитические и количественные навыки Опыт анализа текстовых данных ( NLP ): токенизация, классификация, извлечение сущностей Знание SQL, Python (библиотеки: Pandas, NLTK, spaCy, dbt), R Опыт обработки данных в форматах: Parquet , ORC, Avro, XML, CSV/TSV, JSON Знание и опыт работы с ETL/ELT , Apache Spark, Apache Airflow, Apache Kafka и Debezium или других инструментов для change data capture (CDC), gitlab Понимание методологий проектирования Баз Данных ( Data Vault, Anchor Modeling ) и NoSQL-решений для хранения текстовых данных Глубокое понимание концепций, технологий и методологий построения хранилищ данных Опыт работы с инструментами визуализации данных и бизнес-аналитики Отличные коммуникативные и межличностные навыки Умение документировать процессы категоризации и паттерны Опыт написания Технических Заданий, Дополнительные желательные требования (будет плюсом):, Сертификация в области анализа данных или хранилищ данных Data Science или смежных дисциплин. Опыт работы с большими данными и облачными технологиями Знание и опыт методов машинного обучения и искусственного интеллекта (ИИ), Условия: ​​​​, Формат работы: удаленный или в офисе (Нижний Новгород) Полис ДМС; Возможность профессионального развития и карьерного роста, профессиональная команда. Уровень вознаграждения обсуждается индивидуально с успешным кандидатом. Оформление по ТК РФ."
Junior Data Scientist,junior,"Статистический анализ, Маркетинговый анализ, Математическая статистика, SQL, Методы машинного обучения, Английский язык, Machine Learning, Data Science, Data Analysis, Big Data, R, Python"
Аналитик данных (предиктивная аналитика),junior,"Python, SQL, Анализ данных, Работа с большим объемом информации, Математическая статистика, Извлечение данных, Интерпретация данных, Исследовательский анализ данных"
Аналитик бизнес-процессов (начального уровня),intern,"Разработка технических заданий, Постановка задач разработчикам, UML, Моделирование бизнес процессов, Бизнес-анализ"
Lead Data & ML Analyst (Tech lead),senior,"Business Analysis, Data Analysis, Marketing Analytics, Machine Learning, LTV Modeling, Python, SQL, ML Engineering, ETL / Data Pipelines, Data Architecture, CI/CD для Data-проектов, Forecasting Models, LTV / CPI / Retention Analysis, BI Tools (Looker / Tableau / PowerBI), Tech Leadership, Unit Economics"
